xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
9179	2676	12698	15814	12698
1178	11609	15929	2316	4462
11609	1178	2980	3430	6054
5127	9095	14797	5075	1085
3432	8247	5060	12695	8232
8247	3432	12856	13669	14652
12396	6003	3741	14624	1440
6003	12396	15847	4521	1837
9936	1729	13833	15658	6620
1729	9936	7129	6640	15593
10740	14448	7208	9857	6555
415	1147	5157	3852	12537
1147	415	14643	2515	2479
4013	2039	5690	13941	7587
2039	4013	13752	1344	15430
11368	10396	15125	15952	2858
10396	11368	14108	2192	6480
13934	8573	6436	4910	15002
8573	13934	4382	15073	7563
13520	5960	14103	14998	6830
5960	13520	8114	10870	4523
8959	8693	6727	12136	4667
8693	8959	5093	11194	13682
11106	14453	7950	3928	6670
14453	11106	4368	10240	12704
10165	15015	4272	7493	5730
15015	10165	8711	1945	8965
6823	6852	4065	3269	1824
6852	6823	3898	13313	12329
1180	11799	8679	8608	13474
11799	1180	5626	9508	10029
3019	5201	8305	4272	2420
5201	3019	13483	627	8424
6524	11442	4156	13683	8240
11442	6524	11065	8240	7059
5888	2631	8803	2283	5715
1860	15284	1896	8132	14256
15284	1860	1010	10064	4753
11419	9268	12023	11210	101
9268	11419	12238	10775	3815
3490	1395	3761	12242	14246
1395	3490	11590	12995	253
8357	3135	11951	5986	10943
3135	8357	10874	5927	15020
6718	12408	1537	13630	15582
12408	6718	6147	4567	8974
7935	3442	1032	5628	3620
3442	7935	3986	4606	7645
15036	16049	11360	14389	14439
7336	9925	1454	8440	6311
9925	7336	15542	2582	5079
915	8951	8738	915	915
8951	915	15897	5079	15983
13420	10575	4115	12227	10225
10575	13420	14256	1557	8527
9491	12209	3177	2316	818
12209	9491	3163	11815	5971
4115	13420	1454	2214	14578
10705	14080	5942	13494	13457
14080	10705	11888	15826	12063
7403	6109	12799	12057	11665
6109	7403	2992	5942	4913
14379	13874	7867	3382	4905
13874	14379	13874	13874	3382
8577	10586	3425	1906	11396
10586	8577	5169	4649	14016
7425	1677	5719	9749	5790
1677	7425	2639	4078	12123
4710	5010	9749	1534	13938
5010	4710	2506	365	15867
4827	633	7314	1153	11076
14339	13938	4626	1703	658
13938	14339	2614	4710	15916
9216	8955	7150	4719	4054
8955	9216	6869	296	3430
3406	2571	13192	2926	492
2571	3406	2571	2571	7871
15914	11396	8806	5932	12662
11396	15914	2369	4142	8577
14103	13520	3916	10686	14995
13200	6922	9909	1278	12102
6922	13200	992	7517	4338
13076	2299	10491	13300	15167
2299	13076	15328	5166	4715
10029	3269	4150	11690	11799
3269	10029	6823	3070	585
14124	6273	13009	6746	4425
6273	14124	2315	653	0
14201	12855	10587	1015	0
12855	14201	6636	15419	0
3569	3082	15651	14870	3301
3082	3569	11560	1579	5730
6880	15717	8953	7650	2658
15717	6880	8781	6221	10360
7567	3937	3937	1674	12144
3937	7567	7567	8141	11156
13194	11120	11993	10775	13630
11120	13194	5830	200	14320
12508	15970	10971	10370	14148
15970	12508	10370	9887	1059
8928	993	9280	10763	15399
993	8928	5697	15141	9280
5896	8612	8996	15969	11344
8612	5896	12563	3716	13664
4768	14148	8988	8527	13100
14148	4768	12508	1404	5430
3536	7175	10979	10979	7175
7175	3536	14346	3213	3536
10002	8714	8480	2139	2729
8714	10002	1281	11173	5137
9677	9215	13998	15816	14934
14943	15242	9808	9455	1819
15242	14943	1616	983	10809
3009	2235	2088	13865	3129
6297	15897	5596	4502	7882
15897	6297	10520	8951	8764
1719	5668	10079	9119	10847
5668	1719	9382	12599	14729
9768	13177	14906	3856	9183
13177	9768	6470	15249	1714
3741	12396	14228	15436	14814
8444	15923	3050	15060	11748
15923	8444	5451	4282	15060
8396	2602	15867	1208	6054
14327	10321	9749	5727	11031
10321	14327	7889	1440	543
1906	2336	8577	15590	0
2336	1906	10662	3636	5538
15602	12224	7142	8705	5175
12224	15602	13256	8983	4393
7946	8536	7029	14505	15699
8536	7946	11543	1866	7512
11828	6727	6727	8055	10686
6727	11828	8055	8959	11828
7029	7946	8355	11474	4662
12329	6706	8790	6852	13715
6706	12329	12075	11551	9028
13192	3406	14518	1740	8335
4264	1250	11928	5646	10084
1250	4264	2696	1345	4523
3711	3414	3405	15941	1325
3414	3711	6927	14489	3018
9964	10500	14554	5306	12603
10500	9964	14995	4546	13340
2	14625	14614	6453	8400
14625	2	7324	2400	2911
5455	421	4920	544	0
421	5455	15739	554	6503
13872	5570	13929	1253	11724
5570	13872	7245	11479	15099
4065	15654	6823	11679	3573
15654	4065	2041	6219	10534
11993	13194	10775	14947	2726
14283	10046	15476	11143	2143
10046	14283	2143	15816	15222
8584	8926	8584	8584	3535
8926	8584	12144	10170	14493
14963	7066	12730	4241	13638
7066	14963	10276	4739	2261
1813	4865	12538	5079	3644
4865	1813	4484	351	1635
13998	9677	3368	2120	14934
14346	4364	7175	4920	9866
4364	14346	4989	15739	9547
15476	1954	14283	12135	12835
1954	15476	3787	3857	3863
10062	11634	9846	9270	0
5875	15262	5735	15335	9987
15262	5875	14776	5884	5156
12265	8658	11937	14122	13975
8658	12265	5926	5222	8563
13303	917	1010	7889	10622
917	13303	10622	7508	1383
14820	11465	9297	2554	9297
11465	14820	11874	10080	5400
6520	2096	15113	5637	7704
2096	6520	8716	14142	8220
10662	2042	2042	4910	2336
2042	10662	10662	7614	14483
2141	2756	8238	5366	13645
2756	2141	2340	12127	7653
9749	4710	7425	14327	3913
1089	13915	7820	1812	4279
13915	1089	8482	14409	11032
11259	4639	8659	15414	7997
4639	11259	14477	7685	14101
7810	3137	7101	7810	7810
3137	7810	92	5215	10060
3425	8577	5538	1631	9021
14108	11928	10396	5068	0
11928	14108	4730	4264	10084
12086	3345	7552	15315	13189
4777	15361	2491	1114	8110
15361	4777	4951	1209	15002
14487	11748	13659	2926	0
11748	14487	6747	8424	8444
12038	1824	15582	2147	3961
10054	3702	3524	8023	5532
3702	10054	3385	5932	1437
9352	5913	13690	11981	15030
5913	9352	9178	13313	2537
558	2876	14673	5795	14123
2876	558	16006	4349	6477
8624	6968	5557	11421	1930
6968	8624	3323	5208	9101
1559	4943	7775	15280	11274
4943	1559	4943	4943	583
2911	11316	7950	14625	11316
11316	2911	15348	12023	2911
3427	5642	1328	180	7843
1402	2747	4570	15218	2120
2747	1402	6803	6526	5422
7822	3390	12679	11065	14206
3390	7822	4739	13459	5156
3368	13141	13998	2785	15180
13141	3368	15806	13247	0
12977	15056	12135	5402	15806
15056	12977	8860	12478	0
7922	4355	13732	7155	13238
14627	1128	355	863	13560
1128	14627	6342	15386	1789
14510	12592	7520	14510	14510
4122	3389	9274	4270	5854
3389	4122	13227	2131	5653
3639	3625	9121	2323	8346
3625	3639	1166	8162	10157
10225	4877	13420	8764	9160
4877	10225	5628	4085	7489
156	10622	3550	9558	7563
10622	156	917	13303	7258
13305	9395	10084	2807	9395
9395	13305	8901	12084	13305
3209	7222	10619	9321	6684
7222	3209	5398	12782	8482
412	15428	5366	12343	12940
15428	412	6487	10041	2820
2926	3406	6127	7430	14487
2287	2287	2287	1166	238
8599	14919	13992	2235	4595
14919	8599	5565	238	5765
15578	7676	13976	10547	16028
7676	15578	13054	13054	0
12015	11586	3013	14198	15430
11586	12015	491	11676	13911
5622	6118	6072	1234	4008
6118	5622	14505	12127	11577
12560	14505	13054	0	0
14505	12560	7946	6118	1885
9196	8589	4434	9505	11381
7683	11171	11493	13031	4949
11171	7683	3880	9369	8395
11991	14035	11019	5040	8652
14035	11991	6735	5389	7259
3673	1993	14046	9850	10748
1993	3673	4452	15613	16006
8867	9651	10122	1632	0
9651	8867	13211	15024	1127
1781	134	2855	10911	7089
134	1781	869	14760	771
257	5355	2915	7073	6178
5355	257	4417	10191	13504
13384	5738	9348	4165	1980
5738	13384	6993	3222	2789
